,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brazil,300,325,300,300,900,500,"1,000",700,850,882,850,"1,000",857,799,775,780,800,880,"1,200","1,220","1,300","1,325","1,750","1,850","1,976","2,070","2,250","2,340","2,550","2,816","4,451","4,819","4,966","4,982","5,375","6,223","6,681","7,106","7,357","8,153","8,464","8,485","10,535","11,302","11,591","11,772","12,182","12,624","11,722","11,899","11,985","12,841","13,154","15,050","15,544","16,184","13,000","12,634","12,835","13,435","12,715","11,890","13,242"
Colombia,750,750,850,900,"1,200","1,500","1,700","2,000","1,700","1,750","1,675","1,663","1,500","1,432",900,557,825,960,750,710,554,531,610,635,"1,108","1,244","1,296","1,907","2,125","1,984","1,991","1,885","3,232","3,156","3,138","2,952","2,798","2,577","2,478","2,289","1,972","1,842","1,632","1,542","1,478","1,453","1,509","1,510","1,510","1,362","1,360","1,900","2,200","2,377","2,445","2,308","2,002","1,665","1,782","1,960","2,036","1,820","2,040"
Ecuador,30,30,25,25,25,20,18,25,325,500,750,"5,748","5,750","5,675","2,500","2,450","1,700","1,640","1,170","1,100","1,100",850,850,860,"1,181","1,148","1,235","1,594","1,515","1,442","1,355","1,524","3,240","3,660","3,491","3,385","3,453","3,674","4,102","4,428","4,566","4,630","5,060","5,060","5,180","5,180","5,180","6,368","6,511","6,511","7,206","8,235","8,235","8,832","8,273","8,273","8,273","8,273","8,273","8,273","8,273","8,273","8,273"
Venezuela,"18,500","17,550","17,000","17,000","17,000","17,250","17,400","17,000","15,500","14,750","14,000","13,762","13,919","13,812","18,567","18,398","18,228","18,039","18,228","18,523","19,530","19,888","24,900","25,887","28,028","54,454","55,521","58,101","58,505","59,040","60,054","62,649","63,330","64,448","64,877","66,329","72,667","74,931","76,108","76,848","76,848","77,685","77,307","77,226","79,729","80,012","87,324","99,377","172,323","211,173","296,501","297,571","297,735","298,350","299,953","300,878","302,250","302,809","303,806","303,806","303,561","303,468","303,221"
Others,920,"1,000","1,000","1,080","1,375","1,300","1,401","1,526","1,671","1,167","1,071","1,193","1,517","1,516","1,678","1,732","1,538","1,761","1,341","1,527","1,461","1,782","1,618","1,580","1,487","1,371","1,382","1,305","1,667","1,766","1,727","1,722","1,873","1,823","2,131","2,101","1,833","2,006","2,489","2,515","2,875","3,488","3,558","3,750","3,917","3,898","2,593","2,618","2,610","2,610","2,610","2,432","2,653","2,864","2,659","2,442","1,979","1,740","1,748","1,765","1,651","1,619","1,651"
Middle East ,"183,060","188,104","193,828","207,004","211,434","214,838","234,607","248,451","270,050","332,847","336,221","346,377","350,046","349,951","403,358","387,071","380,169","376,766","370,715","362,655","362,910","365,244","388,592","397,053","431,006","431,928","537,184","567,268","653,830","661,348","660,019","660,471","661,317","661,471","663,752","663,380","673,932","674,429","675,456","676,387","692,979","697,038","728,957","744,815","748,423","751,690","754,616","750,619","752,258","752,409","794,595","797,155","799,132","802,958","802,512","802,848","807,730","804,639","803,184","863,418","865,519","869,612","871,612"
IR Iran,"35,000","35,000","37,000","37,000","38,000","40,000","44,200","43,800","54,000","55,000","60,000","58,344","65,000","62,861","66,000","64,500","63,000","62,000","60,088","58,833","58,296","57,020","56,148","55,257","58,874","59,000","92,860","92,860","92,860","92,860","92,850","92,860","92,860","92,860","94,300","93,700","92,600","92,600","93,700","93,100","99,530","99,080","130,690","133,250","132,460","136,270","138,400","136,150","137,620","137,010","151,170","154,580","157,300","157,800","157,530","158,400","157,200","155,600","155,600","208,600","208,600","208,600","208,600"
Iraq,"27,000","26,500","26,000","25,500","25,000","25,000","24,000","23,500","28,000","27,500","32,000","35,990","29,000","31,500","35,000","34,300","34,000","34,500","32,100","31,000","30,000","32,000","59,000","65,000","65,000","65,000","72,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","112,000","112,500","112,500","112,500","112,500","115,000","115,000","115,000","115,000","115,000","115,000","115,000","115,000","115,000","143,100","141,350","140,300","144,211","143,069","142,503","148,766","147,223","145,019","145,019","145,019","145,019","145,019"
Kuwait,"65,000","65,000","66,725","68,500","69,225","68,700","75,200","76,750","76,500","74,500","79,950","78,198","72,900","72,750","81,450","71,200","70,550","70,100","69,440","68,530","67,930","67,730","67,150","67,000","92,710","92,464","94,522","94,525","94,525","97,125","97,025","96,500","96,500","96,500","96,500","96,500","96,500","96,500","96,500","96,500","96,500","96,500","96,500","99,000","101,500","101,500","101,500","101,500","101,500","101,500","101,500","101,500","101,500","101,500","101,500","101,500","101,500","101,500","101,500","101,500","101,500","101,500","101,500"
Oman,0,0,0,0,500,500,500,"2,500","2,500","5,000","4,000","5,200","5,000","5,250","6,000","5,900","5,800","5,650","2,500","2,400","2,493","2,908","2,991","3,500","3,852","4,026","3,972","4,088","4,119","4,269","4,361","4,471","4,748","4,970","5,138","5,172","5,238","5,400","5,400","5,700","5,848","5,900","5,706","5,572","5,572","5,572","5,572","5,572","5,572","5,500","5,500","5,500","5,500","4,974","5,151","5,306","5,373","5,373","5,373","5,373","5,373","5,373","5,373"
